accession	protein_id	source	uniprot_id	embl_id
BGC0000027	AGN71613	DeepBGC-protein-unique	R9UQ91	KC148521
BGC0000027	AGN71614	DeepBGC-protein-unique	R9UP03	KC148521
BGC0000027	AGN71616	DeepBGC-protein-unique	R9UQT4	KC148521
BGC0000027	AGN71618	DeepBGC-protein-unique	R9UQ96	KC148521
BGC0000027	AGN71619	DeepBGC-protein-unique	R9UP07	KC148521
BGC0000027	AGN71622	DeepBGC-protein-unique	R9UMJ8	KC148521
BGC0000027	AGN71623	DeepBGC-protein-unique	R9UQA3	KC148521
BGC0000027	AGN71624	DeepBGC-protein-unique	R9UP10	KC148521
BGC0000027	AGN71625	DeepBGC-protein-unique	R9UMC7	KC148521
BGC0000030	CCT69238	DeepBGC-protein-unique	S0E9S7	HF679027
BGC0000030	CCT67991	DeepBGC-protein-unique	S0DZM7	HF679027
BGC0000030	CCT67992	DeepBGC-protein-unique	S0E2X6	HF679027
BGC0000030	CCT67993	DeepBGC-protein-unique	S0E608	HF679027
BGC0000030	CCT67994	DeepBGC-protein-unique	S0DZI6	HF679027
BGC0000030	CCT67995	DeepBGC-protein-unique	S0E028	HF679027
BGC0000030	CCT67996	DeepBGC-protein-unique	S0DZN4	HF679027
BGC0000037	CBF69451	DeepBGC-protein-unique	Q5AZ32	BN001301
BGC0000044	ADO69376	DeepBGC-protein-unique	E3FNV2	CP002271
BGC0000044	ADO69377	DeepBGC-protein-unique	E3FNV3	CP002271
BGC0000044	ADO69378	DeepBGC-protein-unique	E3FNV4	CP002271
BGC0000044	ADO69379	DeepBGC-protein-unique	E3FNV5	CP002271
BGC0000044	ADO69380	DeepBGC-protein-unique	E3FNV6	CP002271
BGC0000044	ADO69381	DeepBGC-protein-unique	E3FNV7	CP002271
BGC0000044	ADO69382	DeepBGC-protein-unique	E3FNV8	CP002271
BGC0000044	ADO69383	DeepBGC-protein-unique	E3FNV9	CP002271
BGC0000044	ADO69384	DeepBGC-protein-unique	E3FNW0	CP002271
BGC0000055	CAM00053	DeepBGC-protein-unique	A4F7M9	AM420293
BGC0000055	CAM00054	DeepBGC-protein-unique	P48635	U82823,AM420293
BGC0000055	CAM00055	DeepBGC-protein-unique	A4F7N1	AM420293
BGC0000055	CAM00056	DeepBGC-protein-unique	A4F7N2	AM420293
BGC0000055	CAM00057	DeepBGC-protein-unique	A4F7N3	AM420293
BGC0000055	CAM00058	DeepBGC-protein-unique	A4F7N4	AM420293
BGC0000055	CAM00059	DeepBGC-protein-unique	A4F7N5	AM420293
BGC0000055	CAM00060	DeepBGC-protein-unique	A4F7N6	AM420293
BGC0000055	CAM00061	DeepBGC-protein-unique	A4F7N7	AM420293
BGC0000055	CAM00062	DeepBGC-protein-unique	A4F7N8	AM420293
BGC0000055	CAM00063	DeepBGC-protein-unique	A4F7N9	AM420293
BGC0000055	CAM00064	DeepBGC-protein-unique	A4F7P0	AM420293
BGC0000055	CAM00065	DeepBGC-protein-unique	A4F7P1	AM420293
BGC0000055	CAM00066	DeepBGC-protein-unique	A4F7P2	U77454,Y14332,AM420293
BGC0000055	CAM00067	DeepBGC-protein-unique	A4F7P3	U77454,Y14332,AM420293
BGC0000055	CAM00068	DeepBGC-protein-unique	A4F7P4	AM420293
BGC0000055	CAM00069	DeepBGC-protein-unique	A4F7P5	X60379,AM420293,M54983
BGC0000055	CAM00070	DeepBGC-protein-unique	A4F7P6	AM420293
BGC0000055	CAM00071	DeepBGC-protein-unique	Q00441	X60379,M54983,AM420293
BGC0000055	CAM00072	DeepBGC-protein-unique	A4F7P8	AM420293
BGC0000055	CAM00073	DeepBGC-protein-unique	A4F7P9	AM420293
BGC0000055	CAM00074	DeepBGC-protein-unique	P07287	M11200,AM420293,X51891
BGC0000055	CAM00075	DeepBGC-protein-unique	P14290	X15541,AM420293
BGC0000057	EAA59561	DeepBGC-protein-unique		
BGC0000057	EAA59562	DeepBGC-protein-unique	Q5AUX2	AACD01000135,BN001302
BGC0000057	EAA59563	DeepBGC-protein-unique	Q5AUX1	BN001302,AACD01000135
BGC0000057	EAA59564	DeepBGC-protein-unique		
BGC0000057	EAA59565	DeepBGC-protein-unique	Q5AUW9	BN001302,AACD01000135
BGC0000057	EAA59566	DeepBGC-protein-unique	Q5AUW8	BN001302,AACD01000135
BGC0000057	EAA59567	DeepBGC-protein-unique	Q5AUW7	BN001302,AACD01000135
BGC0000057	EAA59568	DeepBGC-protein-unique	Q5AUW6	BN001302,AACD01000135
BGC0000057	EAA59569	DeepBGC-protein-unique	Q5AUW5	AACD01000135,BN001302
BGC0000057	EAA59570	DeepBGC-protein-unique		
BGC0000059	BAC68117	DeepBGC-protein-unique	Q79ZT8	BA000030
BGC0000059	BAC68118	DeepBGC-protein-unique	Q79ZT7	BA000030
BGC0000059	BAC68119	DeepBGC-protein-unique	Q79ZT6	BA000030
BGC0000059	BAC68120	DeepBGC-protein-unique	Q82QT7	BA000030
BGC0000059	BAC68121	DeepBGC-protein-unique	Q82QT6	BA000030
BGC0000059	BAC68122	DeepBGC-protein-unique	Q79ZT5	BA000030
BGC0000059	BAC68123	DeepBGC-protein-unique	Q79ZT4	BA000030
BGC0000059	BAC68124	DeepBGC-protein-unique	Q79ZT3	BA000030
BGC0000059	BAC68125	DeepBGC-protein-unique	Q79ZT2	BA000030
BGC0000059	BAC68126	DeepBGC-protein-unique	Q79ZT1	BA000030
BGC0000059	BAC68127	DeepBGC-protein-unique	Q79ZT0	BA000030
BGC0000059	BAC68128	DeepBGC-protein-unique	Q82QT5	BA000030
BGC0000059	BAC68129	DeepBGC-protein-unique	Q82QT4	BA000030
BGC0000062	AAN74808	DeepBGC-protein-unique	Q8J2R5	AF155773
BGC0000062	AAN74810	DeepBGC-protein-unique	Q8J2R3	AF155773
BGC0000062	AAN74811	DeepBGC-protein-unique	Q8J2R2	AF155773
BGC0000062	AAN74812	DeepBGC-protein-unique	Q8J2R1	AF155773
BGC0000062	AAN74825	DeepBGC-protein-unique	Q8J2P8	AF155773
BGC0000082	ACB46463	DeepBGC-protein-unique	B3TMN3	EU301739
BGC0000082	ACB46464	DeepBGC-protein-unique	B3TMN4	EU301739
BGC0000082	ACB46465	DeepBGC-protein-unique	B3TMN5	EU301739
BGC0000082	ACB46466	DeepBGC-protein-unique	B3TMN6	EU301739
BGC0000082	ACB46467	DeepBGC-protein-unique	B3TMN7	EU301739
BGC0000082	ACB46468	DeepBGC-protein-unique	B3TMN8	EU301739
BGC0000082	ACB46469	DeepBGC-protein-unique	B3TMN9	EU301739
BGC0000082	ACB46470	DeepBGC-protein-unique	B3TMP0	EU301739
BGC0000082	ACB46471	DeepBGC-protein-unique	B3TMP1	EU301739
BGC0000082	ACB46472	DeepBGC-protein-unique	B3TMP2	EU301739
BGC0000082	ACB46473	DeepBGC-protein-unique	B3TMP3	EU301739
BGC0000082	ACB46474	DeepBGC-protein-unique	B3TMP4	EU301739
BGC0000082	ACB46475	DeepBGC-protein-unique	B3TMP5	EU301739
BGC0000082	ACB46476	DeepBGC-protein-unique	B3TMP6	EU301739
BGC0000082	ACB46477	DeepBGC-protein-unique	B3TMP7	EU301739
BGC0000082	ACB46478	DeepBGC-protein-unique	B3TMP8	EU301739
BGC0000082	ACB46479	DeepBGC-protein-unique	B3TMP9	EU301739
BGC0000082	ACB46480	DeepBGC-protein-unique	B3TMQ0	EU301739
BGC0000082	ACB46481	DeepBGC-protein-unique	B3TMQ1	EU301739
BGC0000082	ACB46483	DeepBGC-protein-unique	B3TMQ3	EU301739
BGC0000082	ACB46484	DeepBGC-protein-unique	B3TMQ4	EU301739
BGC0000082	ACB46485	DeepBGC-protein-unique	B3TMQ5	EU301739
BGC0000082	ACB46486	DeepBGC-protein-unique	B3TMQ6	EU301739
BGC0000082	ACB46487	DeepBGC-protein-unique	B3TMQ7	EU301739
BGC0000082	ACB46488	DeepBGC-protein-unique	B3TMQ8	EU301739
BGC0000082	ACB46489	DeepBGC-protein-unique	B3TMQ9	EU301739
BGC0000082	ACB46490	DeepBGC-protein-unique	B3TMR0	EU301739
BGC0000082	ACB46491	DeepBGC-protein-unique	B3TMR1	EU301739
BGC0000082	ACB46492	DeepBGC-protein-unique	B3TMR2	EU301739
BGC0000082	ACB46493	DeepBGC-protein-unique	B3TMR3	EU301739
BGC0000082	ACB46494	DeepBGC-protein-unique	B3TMR4	EU301739
BGC0000082	ACB46495	DeepBGC-protein-unique	B3TMR5	EU301739
BGC0000082	ACB46496	DeepBGC-protein-unique	B3TMR6	EU301739
BGC0000082	ACB46497	DeepBGC-protein-unique	B3TMR7	EU301739
BGC0000082	ACB46498	DeepBGC-protein-unique	B3TMR8	EU301739
BGC0000082	ACB46499	DeepBGC-protein-unique	B3TMR9	EU301739
BGC0000082	ACB46500	DeepBGC-protein-unique	B3TMS0	EU301739
BGC0000087	AUTOORF_00001	DeepBGC-protein-unique		
BGC0000087	AUTOORF_00002	DeepBGC-protein-unique		
BGC0000087	AUTOORF_00003	DeepBGC-protein-unique		
BGC0000087	AUTOORF_00004	DeepBGC-protein-unique		
BGC0000101	CBF73676	DeepBGC-protein-unique	Q5AUN2	BN001302,AACD01000137
BGC0000101	CBF73678	DeepBGC-protein-unique	C8V5M0	BN001302
BGC0000103	CAE46843	DeepBGC-protein-unique	Q6MZ72	BX649209
BGC0000103	CAE46844	DeepBGC-protein-unique	Q6MZ69	BX649209,BX649209
BGC0000103	CAE46845	DeepBGC-protein-unique	Q6MZ68	BX649209,BX649209
BGC0000103	CAE46846	DeepBGC-protein-unique	Q6MZA6	BX649209
BGC0000103	CAE46847	DeepBGC-protein-unique	Q6MZA9	BX649209
BGC0000103	CAE46848	DeepBGC-protein-unique	Q6MZA8	BX649209
BGC0000103	CAE46849	DeepBGC-protein-unique	Q6MZA7	BX649209
BGC0000103	CAE46850	DeepBGC-protein-unique	Q6MZA5	BX649209
BGC0000103	CAE46851	DeepBGC-protein-unique	Q6MZA4	BX649209
BGC0000107	CBF74114	DeepBGC-protein-unique	Q03149	X65866,AACD01000143,BN001302
BGC0000121	AGQ21998	DeepBGC-protein-unique	A0A067XNX0	KC145148
BGC0000129	EAL89229	DeepBGC-protein-unique	Q4WLD5	AAHF01000006
BGC0000129	EAL89230	DeepBGC-protein-unique	Q4WLD4	AAHF01000006
BGC0000129	EBA27371	DeepBGC-protein-unique	A4D9R2	AAHF01000006
BGC0000129	EBA27372	DeepBGC-protein-unique	A4D9R3	AAHF01000006
BGC0000129	EAL89233	DeepBGC-protein-unique	Q4WLD1	AAHF01000006
BGC0000129	EAL89234	DeepBGC-protein-unique	Q4WLD0	AAHF01000006
BGC0000129	EAL89235	DeepBGC-protein-unique	Q4WLC9	AAHF01000006
BGC0000129	EAL89236	DeepBGC-protein-unique	Q4WLC8	AAHF01000006
BGC0000137	ABV97146	DeepBGC-protein-unique	A8M6C1	CP000850
BGC0000137	ABV97147	DeepBGC-protein-unique	A8M6C2	CP000850
BGC0000137	ABV97148	DeepBGC-protein-unique	A8M6C3	CP000850
BGC0000137	ABV97150	DeepBGC-protein-unique	A8M6C5	CP000850
BGC0000137	ABV97151	DeepBGC-protein-unique	A8M6C6	CP000850
BGC0000137	ABV97152	DeepBGC-protein-unique	A8M6C7	CP000850
BGC0000137	ABV97153	DeepBGC-protein-unique	A8M6C8	CP000850
BGC0000137	ABV97154	DeepBGC-protein-unique	A8M6C9	CP000850
BGC0000137	ABV97155	DeepBGC-protein-unique	A8M6D0	CP000850
BGC0000137	ABV97156	DeepBGC-protein-unique	A8M6D1	CP000850
BGC0000137	ABV97158	DeepBGC-protein-unique	A8M6D3	CP000850
BGC0000137	ABV97159	DeepBGC-protein-unique	A8M6D4	CP000850
BGC0000137	ABV97160	DeepBGC-protein-unique	A8M6D5	CP000850
BGC0000137	ABV97161	DeepBGC-protein-unique	A8M6D6	CP000850
BGC0000137	ABV97162	DeepBGC-protein-unique	A8M6D7	CP000850
BGC0000137	ABV97163	DeepBGC-protein-unique	A8M6D8	CP000850
BGC0000137	ABV97164	DeepBGC-protein-unique	A8M6D9	CP000850
BGC0000137	ABV97165	DeepBGC-protein-unique	A8M6E0	CP000850
BGC0000137	ABV97166	DeepBGC-protein-unique	A8M6E1	CP000850
BGC0000137	ABV97167	DeepBGC-protein-unique	A8M6E2	CP000850
BGC0000137	ABV97168	DeepBGC-protein-unique	A8M6E3	CP000850
BGC0000137	ABV97169	DeepBGC-protein-unique	A8M6E4	CP000850
BGC0000137	ABV97170	DeepBGC-protein-unique	A8M6Y8	CP000850
BGC0000137	ABV97171	DeepBGC-protein-unique	A8M6Y9	CP000850
BGC0000137	ABV97172	DeepBGC-protein-unique	A8M6Z0	CP000850
BGC0000137	ABV97173	DeepBGC-protein-unique	A8M6Z1	CP000850
BGC0000137	ABV97174	DeepBGC-protein-unique	A8M6Z2	CP000850
BGC0000137	ABV97175	DeepBGC-protein-unique	A8M6Z3	CP000850
BGC0000137	ABV97176	DeepBGC-protein-unique	A8M6Z4	CP000850
BGC0000137	ABV97177	DeepBGC-protein-unique	A8M6Z5	CP000850
BGC0000137	ABV97178	DeepBGC-protein-unique	A8M6Z6	CP000850
BGC0000137	ABV97179	DeepBGC-protein-unique	A8M6Z7	CP000850
BGC0000137	ABV97180	DeepBGC-protein-unique	A8M6Z8	CP000850
BGC0000137	ABV97181	DeepBGC-protein-unique	A8M6Z9	CP000850
BGC0000137	ABV97182	DeepBGC-protein-unique	A8M700	CP000850
BGC0000137	ABV97183	DeepBGC-protein-unique	A8M701	CP000850
BGC0000142	ABP55199	DeepBGC-protein-unique	A4X8J9	CP000667
BGC0000142	ABP55200	DeepBGC-protein-unique	A4X8K0	CP000667
BGC0000142	ABP55201	DeepBGC-protein-unique	A4X8K1	CP000667
BGC0000142	ABP55202	DeepBGC-protein-unique	A4X8K2	CP000667
BGC0000142	ABP55203	DeepBGC-protein-unique	A4X8K3	CP000667
BGC0000142	ABP55205	DeepBGC-protein-unique	A4X8K5	CP000667
BGC0000142	ABP55206	DeepBGC-protein-unique	A4X8K6	CP000667
BGC0000142	ABP55207	DeepBGC-protein-unique	A4X8K7	CP000667
BGC0000142	ABP55208	DeepBGC-protein-unique	A4X8K8	CP000667
BGC0000142	ABP55209	DeepBGC-protein-unique	A4X8K9	CP000667
BGC0000142	ABP55210	DeepBGC-protein-unique	A4X8L0	CP000667
BGC0000142	ABP55211	DeepBGC-protein-unique	A4X8L1	CP000667
BGC0000142	ABP55212	DeepBGC-protein-unique	A4X8L2	CP000667
BGC0000142	ABP55214	DeepBGC-protein-unique	A4X8L4	CP000667
BGC0000142	ABP55215	DeepBGC-protein-unique	A4X8L5	CP000667
BGC0000142	ABP55216	DeepBGC-protein-unique	A4X8L6	CP000667
BGC0000142	ABP55217	DeepBGC-protein-unique	A4X8L7	CP000667
BGC0000142	ABP55218	DeepBGC-protein-unique	A4X8L8	CP000667
BGC0000142	ABP55219	DeepBGC-protein-unique	A4X8L9	CP000667
BGC0000142	ABP55220	DeepBGC-protein-unique	A4X8M0	CP000667
BGC0000142	ABP55221	DeepBGC-protein-unique	A4X8M1	CP000667
BGC0000142	ABP55222	DeepBGC-protein-unique	A4X8M2	CP000667
BGC0000142	ABP55223	DeepBGC-protein-unique	A4X8M3	CP000667
BGC0000149	AUTOORF_00001	DeepBGC-protein-unique		
BGC0000150	ABP55136	DeepBGC-protein-unique	A4X8D6	CP000667
BGC0000150	ABP55137	DeepBGC-protein-unique	A4X8D7	CP000667
BGC0000150	ABP55138	DeepBGC-protein-unique	A4X8D8	CP000667
BGC0000150	ABP55139	DeepBGC-protein-unique	A4X8D9	CP000667
BGC0000150	ABP55140	DeepBGC-protein-unique	A4X8E0	CP000667
BGC0000150	ABP55141	DeepBGC-protein-unique	A4X8E1	CP000667
BGC0000150	ABP55142	DeepBGC-protein-unique	A4X8E2	CP000667
BGC0000150	ABP55143	DeepBGC-protein-unique	A4X8E3	CP000667
BGC0000150	ABP55144	DeepBGC-protein-unique	A4X8E4	CP000667
BGC0000150	ABP55145	DeepBGC-protein-unique	A4X8E5	CP000667
BGC0000150	ABP55146	DeepBGC-protein-unique	A4X8E6	CP000667
BGC0000150	ABP55147	DeepBGC-protein-unique	A4X8E7	CP000667
BGC0000150	ABP55148	DeepBGC-protein-unique	A4X8E8	CP000667
BGC0000150	ABP55150	DeepBGC-protein-unique	A4X8F0	CP000667
BGC0000150	ABP55152	DeepBGC-protein-unique	A4X8F2	CP000667
BGC0000150	ABP55153	DeepBGC-protein-unique	A4X8F3	CP000667
BGC0000150	ABP55154	DeepBGC-protein-unique	A4X8F4	CP000667
BGC0000150	ABP55155	DeepBGC-protein-unique	A4X8F5	CP000667
BGC0000150	ABP55156	DeepBGC-protein-unique	A4X8F6	CP000667
BGC0000150	ABP55157	DeepBGC-protein-unique	A4X8F7	CP000667
BGC0000150	ABP55158	DeepBGC-protein-unique	A4X8F8	CP000667
BGC0000150	ABP55159	DeepBGC-protein-unique	A4X8F9	CP000667
BGC0000150	ABP55161	DeepBGC-protein-unique	A4X8G1	CP000667
BGC0000150	ABP55162	DeepBGC-protein-unique	A4X8G2	CP000667
BGC0000150	ABP55163	DeepBGC-protein-unique	A4X8G3	CP000667
BGC0000150	ABP55164	DeepBGC-protein-unique	A4X8G4	CP000667
BGC0000150	ABP55165	DeepBGC-protein-unique	A4X8G5	CP000667
BGC0000150	ABP55166	DeepBGC-protein-unique	A4X8G6	CP000667
BGC0000150	ABP55167	DeepBGC-protein-unique	A4X8G7	CP000667
BGC0000150	ABP55168	DeepBGC-protein-unique	A4X8G8	CP000667
BGC0000150	ABP55169	DeepBGC-protein-unique	A4X8G9	CP000667
BGC0000150	ABP55170	DeepBGC-protein-unique	A4X8H0	CP000667
BGC0000150	ABP55171	DeepBGC-protein-unique	A4X8H1	CP000667
BGC0000150	ABP55172	DeepBGC-protein-unique	A4X8H2	CP000667
BGC0000150	ABP55173	DeepBGC-protein-unique	A4X8H3	CP000667
BGC0000150	ABP55174	DeepBGC-protein-unique	A4X8H4	CP000667
BGC0000150	ABP55175	DeepBGC-protein-unique	A4X8H5	CP000667
BGC0000150	ABP55176	DeepBGC-protein-unique	A4X8H6	CP000667
BGC0000150	ABP55177	DeepBGC-protein-unique	A4X8H7	CP000667
BGC0000150	ABP55179	DeepBGC-protein-unique	A4X8H9	CP000667
BGC0000150	ABP55180	DeepBGC-protein-unique	A4X8I0	CP000667
BGC0000150	ABP55181	DeepBGC-protein-unique	A4X8I1	CP000667
BGC0000151	CAJ88175	DeepBGC-protein-unique	A0ACH1	CP012382,AM238664
BGC0000151	CAJ88176	DeepBGC-protein-unique	A0ACH2	CP012382,AM238664
BGC0000151	CAJ88177	DeepBGC-protein-unique	A0ACH3	CP012382,AM238664
BGC0000151	CAJ88178	DeepBGC-protein-unique	A0ACH4	CP012382,AM238664
BGC0000151	CAJ88179	DeepBGC-protein-unique	A0ACH5	CP012382,AM238664
BGC0000151	CAJ88180	DeepBGC-protein-unique	A0ACH6	CP012382,AM238664
BGC0000151	CAJ88181	DeepBGC-protein-unique	A0ACH7	AM238664
BGC0000151	CAJ88182	DeepBGC-protein-unique	A0ACH8	CP012382,AM238664
BGC0000151	CAJ88183	DeepBGC-protein-unique	A0ACH9	CP012382,AM238664
BGC0000151	CAJ88184	DeepBGC-protein-unique	A0ACI0	CP012382,AM238664
BGC0000151	CBZ41585	DeepBGC-protein-unique	F0IWV2	CP012382,AM238664
BGC0000151	CAJ88185	DeepBGC-protein-unique	A0ACI1	CP012382,AM238664
BGC0000151	CAJ88186	DeepBGC-protein-unique	A0ACI2	CP012382,AM238664
BGC0000151	CBZ41586	DeepBGC-protein-unique	F0IWV3	CP012382,AM238664
BGC0000151	CAJ88187	DeepBGC-protein-unique	A0ACI3	CP012382,AM238664
BGC0000151	CAJ88188	DeepBGC-protein-unique	A0ACI4	CP012382,AM238664
BGC0000151	CAJ88189	DeepBGC-protein-unique	A0ACI5	AM238664
BGC0000151	CAJ88190	DeepBGC-protein-unique	A0ACI6	CP012382,AM238664
BGC0000151	CAJ88191	DeepBGC-protein-unique	A0ACI7	CP012382,AM238664
BGC0000151	CAJ88192	DeepBGC-protein-unique	A0ACI8	CP012382,AM238664
BGC0000151	CAJ88193	DeepBGC-protein-unique	A0ACI9	CP012382,AM238664
BGC0000151	CAJ88194	DeepBGC-protein-unique	A0ACJ0	CP012382,AM238664
BGC0000151	CAJ88195	DeepBGC-protein-unique	A0ACJ1	CP012382,AM238664
BGC0000151	CAJ88196	DeepBGC-protein-unique	A0ACJ2	CP012382,AM238664
BGC0000151	CAJ88197	DeepBGC-protein-unique	A0ACJ3	CP012382,AM238664
BGC0000154	EED17997	DeepBGC-protein-unique	B8M9J5	BK008910,EQ962655
BGC0000154	EED17999	DeepBGC-protein-unique	B8M9J6	BK008910,EQ962655,EQ962655
BGC0000154	EED17998	DeepBGC-protein-unique	B8M9J6	BK008910,EQ962655,EQ962655
BGC0000154	EED18000	DeepBGC-protein-unique	B8M9J8	BK008910,EQ962655
BGC0000154	EED18001	DeepBGC-protein-unique	B8M9J9	BK008910,EQ962655
BGC0000154	EED18003	DeepBGC-protein-unique	B8M9K1	EQ962655
BGC0000154	EED18002	DeepBGC-protein-unique	B8M9K0	BK008910,EQ962655
BGC0000154	EED18004	DeepBGC-protein-unique	B8M9K2	EQ962655
BGC0000154	EED18005	DeepBGC-protein-unique	B8M9K3	BK008910,EQ962655
BGC0000154	EED18006	DeepBGC-protein-unique	B8M9K4	BK008910,EQ962655
BGC0000154	EED18007	DeepBGC-protein-unique	B8M9K5	BK008910,EQ962655
BGC0000154	EED18009	DeepBGC-protein-unique	B8M9K6	BK008910,EQ962655
BGC0000154	EED18008	DeepBGC-protein-unique	B8M9K7	EQ962655
BGC0000154	EED18010	DeepBGC-protein-unique	B8M9K8	BK008910,EQ962655
BGC0000160	EAU32816	DeepBGC-protein-unique	Q0CJ62	KY950680,CH476602
BGC0000160	EAU32817	DeepBGC-protein-unique	Q0CJ61	CH476602
BGC0000160	EAU32818	DeepBGC-protein-unique	Q0CJ60	KY950684,CH476602
BGC0000160	EAU32819	DeepBGC-protein-unique	Q0CJ59	CH476602
BGC0000160	EAU32820	DeepBGC-protein-unique	Q0CJ58	KY950682,CH476602
BGC0000160	EAU32821	DeepBGC-protein-unique	Q0CJ57	KY950681,CH476602
BGC0000160	EAU32822	DeepBGC-protein-unique	Q0CJ56	CH476602
BGC0000160	EAU32824	DeepBGC-protein-unique	Q0CJ54	KY950683,CH476602
BGC0000161	EAU38781	DeepBGC-protein-unique	Q0D1P9	CH476594
BGC0000161	EAU38782	DeepBGC-protein-unique	Q0D1P8	CH476594
BGC0000161	EAU38783	DeepBGC-protein-unique	Q0D1P7	CH476594
BGC0000161	EAU38784	DeepBGC-protein-unique	Q0D1P6	CH476594
BGC0000161	EAU38785	DeepBGC-protein-unique	Q0D1P5	CH476594
BGC0000161	EAU38786	DeepBGC-protein-unique	Q0D1P4	CH476594
BGC0000161	EAU38787	DeepBGC-protein-unique	Q0D1P3	CH476594
BGC0000161	EAU38788	DeepBGC-protein-unique	Q0D1P2	CH476594
BGC0000161	EAU38789	DeepBGC-protein-unique	Q0D1P1	CH476594
BGC0000161	EAU38790	DeepBGC-protein-unique	Q0D1P0	CH476594
BGC0000161	EAU38791	DeepBGC-protein-unique	Q0D1N9	CH476594
BGC0000170	EHA22192	DeepBGC-protein-unique	G3Y415	ACJE01000012
BGC0000170	EHA22193	DeepBGC-protein-unique	G3Y416	ACJE01000012
BGC0000170	EHA22194	DeepBGC-protein-unique	G3Y417	ACJE01000012
BGC0000170	EHA22195	DeepBGC-protein-unique	G3Y418	ACJE01000012
