accession	protein_id	source
BGC0000151	CAJ88184	DeepBGC-unique
BGC0000151	CBZ41585	DeepBGC-unique
BGC0000151	CAJ88185	DeepBGC-unique
BGC0000151	CAJ88186	DeepBGC-unique
BGC0000151	CBZ41586	DeepBGC-unique
BGC0000151	CAJ88187	DeepBGC-unique
BGC0000151	CAJ88188	DeepBGC-unique
BGC0000151	CAJ88189	DeepBGC-unique
BGC0000151	CAJ88190	DeepBGC-unique
BGC0000151	CAJ88191	DeepBGC-unique
BGC0000151	CAJ88192	DeepBGC-unique
BGC0000151	CAJ88193	DeepBGC-unique
BGC0000151	CAJ88194	DeepBGC-unique
BGC0000151	CAJ88195	DeepBGC-unique
BGC0000151	CAJ88196	DeepBGC-unique
BGC0000151	CAJ88197	DeepBGC-unique
BGC0000154	EED17997	DeepBGC-unique
BGC0000154	EED17999	DeepBGC-unique
BGC0000154	EED17998	DeepBGC-unique
BGC0000154	EED18000	DeepBGC-unique
BGC0000154	EED18001	DeepBGC-unique
BGC0000154	EED18003	DeepBGC-unique
BGC0000154	EED18002	DeepBGC-unique
BGC0000154	EED18004	DeepBGC-unique
BGC0000154	EED18005	DeepBGC-unique
BGC0000154	EED18006	DeepBGC-unique
BGC0000154	EED18007	DeepBGC-unique
BGC0000154	EED18009	DeepBGC-unique
BGC0000154	EED18008	DeepBGC-unique
BGC0000154	EED18010	DeepBGC-unique
BGC0000155	ADB23430	DeepBGC-unique
BGC0000155	ADB23431	DeepBGC-unique
BGC0000155	ACP43390	DeepBGC-unique
BGC0000155	ABB76806	DeepBGC-unique
BGC0000155	AAB08104	DeepBGC-unique
BGC0000155	AAM88291	DeepBGC-unique
BGC0000155	AAM88292	DeepBGC-unique
BGC0000155	ACP34152	DeepBGC-unique
BGC0000155	ACP34153	DeepBGC-unique
BGC0000160	EAU32816	DeepBGC-unique
BGC0000160	EAU32817	DeepBGC-unique
BGC0000160	EAU32818	DeepBGC-unique
BGC0000160	EAU32819	DeepBGC-unique
BGC0000160	EAU32820	DeepBGC-unique
BGC0000160	EAU32821	DeepBGC-unique
BGC0000160	EAU32822	DeepBGC-unique
BGC0000160	EAU32824	DeepBGC-unique
BGC0000161	EAU38781	DeepBGC-unique
BGC0000161	EAU38782	DeepBGC-unique
BGC0000161	EAU38783	DeepBGC-unique
BGC0000161	EAU38784	DeepBGC-unique
BGC0000161	EAU38785	DeepBGC-unique
BGC0000161	EAU38786	DeepBGC-unique
BGC0000161	EAU38787	DeepBGC-unique
BGC0000161	EAU38788	DeepBGC-unique
BGC0000161	EAU38789	DeepBGC-unique
BGC0000161	EAU38790	DeepBGC-unique
BGC0000161	EAU38791	DeepBGC-unique
BGC0000170	EHA22192	DeepBGC-unique
BGC0000170	EHA22193	DeepBGC-unique
BGC0000170	EHA22194	DeepBGC-unique
BGC0000170	EHA22195	DeepBGC-unique
BGC0000170	EHA22196	DeepBGC-unique
BGC0000170	EHA22197	DeepBGC-unique
BGC0000170	EHA22198	DeepBGC-unique
BGC0000170	EHA22199	DeepBGC-unique
BGC0000170	EHA22200	DeepBGC-unique
BGC0000170	EHA22201	DeepBGC-unique
BGC0000172	ERM18782	DeepBGC-unique
BGC0000172	ERM18783	DeepBGC-unique
BGC0000172	ERM18785	DeepBGC-unique
BGC0000172	ERM18788	DeepBGC-unique
BGC0000172	ERM18789	DeepBGC-unique
BGC0000172	ERM18790	DeepBGC-unique
BGC0000172	ERM18791	DeepBGC-unique
BGC0000172	ERM18792	DeepBGC-unique
BGC0000172	ERM18793	DeepBGC-unique
BGC0000172	ERM18794	DeepBGC-unique
BGC0000172	ERM18795	DeepBGC-unique
BGC0000172	ERM18796	DeepBGC-unique
BGC0000172	ERM18797	DeepBGC-unique
BGC0000172	ERM18798	DeepBGC-unique
BGC0000172	ERM18799	DeepBGC-unique
BGC0000172	ERM18800	DeepBGC-unique
BGC0000172	ERM18801	DeepBGC-unique
BGC0000172	ERM18802	DeepBGC-unique
BGC0000172	ERM18803	DeepBGC-unique
BGC0000179	CAN93344	DeepBGC-unique
BGC0000179	CAN93345	DeepBGC-unique
BGC0000179	CAN93346	DeepBGC-unique
BGC0000179	CAN93347	DeepBGC-unique
BGC0000179	CAN93348	DeepBGC-unique
BGC0000179	CAN93349	DeepBGC-unique
BGC0000179	CAN93350	DeepBGC-unique
BGC0000179	CAN93351	DeepBGC-unique
BGC0000179	CAN93352	DeepBGC-unique
BGC0000179	CAN93353	DeepBGC-unique
BGC0000179	CAN93354	DeepBGC-unique
BGC0000179	CAN93356	DeepBGC-unique
BGC0000179	CAN93357	DeepBGC-unique
BGC0000179	CAN93358	DeepBGC-unique
BGC0000185	ACR12697	DeepBGC-unique
BGC0000185	ACR11036	DeepBGC-unique
BGC0000185	ACR13997	DeepBGC-unique
BGC0000185	ACR12418	DeepBGC-unique
BGC0000185	ACR13065	DeepBGC-unique
BGC0000185	ACR11438	DeepBGC-unique
BGC0000185	ACR13893	DeepBGC-unique
BGC0000185	ACR12981	DeepBGC-unique
BGC0000185	ACR13421	DeepBGC-unique
BGC0000186	ABC36202	DeepBGC-unique
BGC0000186	ABC34599	DeepBGC-unique
BGC0000186	ABC33986	DeepBGC-unique
BGC0000186	ABC34675	DeepBGC-unique
BGC0000186	ABC34176	DeepBGC-unique
BGC0000186	ABC35867	DeepBGC-unique
BGC0000186	ABC35267	DeepBGC-unique
BGC0000186	ABC34601	DeepBGC-unique
BGC0000186	ABC34518	DeepBGC-unique
BGC0000186	ABC35804	DeepBGC-unique
BGC0000186	ABC35522	DeepBGC-unique
BGC0000186	ABC34832	DeepBGC-unique
BGC0000186	ABC34740	DeepBGC-unique
BGC0000186	ABC34917	DeepBGC-unique
BGC0000186	ABC35757	DeepBGC-unique
BGC0000186	ABC35295	DeepBGC-unique
BGC0000186	ABC35022	DeepBGC-unique
BGC0000186	ABC34138	DeepBGC-unique
BGC0000189	CBJ83012	DeepBGC-unique
BGC0000189	CBJ83013	DeepBGC-unique
BGC0000189	CBJ83014	DeepBGC-unique
BGC0000189	CBJ83015	DeepBGC-unique
BGC0000189	CBJ83016	DeepBGC-unique
BGC0000189	CBJ83018	DeepBGC-unique
BGC0000189	CBJ83019	DeepBGC-unique
BGC0000196	CAE16558	DeepBGC-unique
BGC0000196	CAE16559	DeepBGC-unique
BGC0000196	CAE16560	DeepBGC-unique
BGC0000196	CAE16561	DeepBGC-unique
BGC0000196	CAE16562	DeepBGC-unique
BGC0000196	CAE16563	DeepBGC-unique
BGC0000196	CAE16564	DeepBGC-unique
BGC0000196	CAE16565	DeepBGC-unique
BGC0000198	WP_029025939	DeepBGC-unique
BGC0000198	WP_029025940	DeepBGC-unique
BGC0000198	WP_029025941	DeepBGC-unique
BGC0000198	WP_029025942	DeepBGC-unique
BGC0000198	WP_029025943	DeepBGC-unique
BGC0000198	WP_029025944	DeepBGC-unique
BGC0000198	WP_029025946	DeepBGC-unique
BGC0000198	WP_029025948	DeepBGC-unique
BGC0000198	WP_029025949	DeepBGC-unique
BGC0000198	WP_029025950	DeepBGC-unique
BGC0000198	WP_029025951	DeepBGC-unique
BGC0000198	WP_029025952	DeepBGC-unique
BGC0000198	WP_029025953	DeepBGC-unique
BGC0000198	WP_029025954	DeepBGC-unique
BGC0000198	WP_029025955	DeepBGC-unique
BGC0000198	WP_029025956	DeepBGC-unique
BGC0000198	WP_029025957	DeepBGC-unique
BGC0000198	WP_029025958	DeepBGC-unique
BGC0000198	WP_029025959	DeepBGC-unique
