accession	protein_id	source	orf_name	acc_norm	orf_norm	orf_in_mibig
BGC0000002	AHH99941	DeepBGC-protein-unique	KALB_6582	BGC0000002	KALB_6582	True
BGC0000002	AHH99942	DeepBGC-protein-unique	KALB_6583	BGC0000002	KALB_6583	True
BGC0000002	AHH99943	DeepBGC-protein-unique	KALB_6584	BGC0000002	KALB_6584	True
BGC0000002	AHH99944	DeepBGC-protein-unique	KALB_6585	BGC0000002	KALB_6585	True
BGC0000002	AHH99945	DeepBGC-protein-unique	KALB_6586	BGC0000002	KALB_6586	True
BGC0000002	AHH99946	DeepBGC-protein-unique	KALB_6587	BGC0000002	KALB_6587	True
BGC0000002	AHH99947	DeepBGC-protein-unique	KALB_6588	BGC0000002	KALB_6588	True
BGC0000002	AHH99948	DeepBGC-protein-unique	KALB_6589	BGC0000002	KALB_6589	True
BGC0000002	AHH99949	DeepBGC-protein-unique	KALB_6590	BGC0000002	KALB_6590	True
BGC0000002	AHH99950	DeepBGC-protein-unique	KALB_6591	BGC0000002	KALB_6591	True
BGC0000013	CBF79143	DeepBGC-protein-unique	ANIA_07071	BGC0000013	ANIA_07071	True
BGC0000013	CBF79145	DeepBGC-protein-unique	ANIA_07070	BGC0000013	ANIA_07070	True
BGC0000022	EAA65597	DeepBGC-protein-unique	AN1029	BGC0000022	AN1029	True
BGC0000022	EAA65599	DeepBGC-protein-unique	AN1031	BGC0000022	AN1031	True
BGC0000022	EAA65600	DeepBGC-protein-unique	AN1032	BGC0000022	AN1032	True
BGC0000022	EAA65601	DeepBGC-protein-unique	AN1033	BGC0000022	AN1033	True
BGC0000022	EAA65602	DeepBGC-protein-unique	AN1034	BGC0000022	AN1034	True
BGC0000022	EAA65603	DeepBGC-protein-unique	AN1035	BGC0000022	AN1035	True
BGC0000022	EAA65604	DeepBGC-protein-unique	AN1036	BGC0000022	AN1036	True
BGC0000027	AGN71602	DeepBGC-protein-unique	2360	BGC0000027	2360	True
BGC0000027	AGN71603	DeepBGC-protein-unique	2361	BGC0000027	2361	True
BGC0000027	AGN71604	DeepBGC-protein-unique	2362MpPKS5	BGC0000027	2362MpPKS5	True
BGC0000027	AGN71605	DeepBGC-protein-unique	2363R1	BGC0000027	2363R1	True
BGC0000027	AGN71606	DeepBGC-protein-unique	2364A	BGC0000027	2364A	True
BGC0000027	AGN71607	DeepBGC-protein-unique	2365B	BGC0000027	2365B	True
BGC0000027	AGN71608	DeepBGC-protein-unique	2366C	BGC0000027	2366C	True
BGC0000027	AGN71609	DeepBGC-protein-unique	2367B	BGC0000027	2367B	True
BGC0000027	AGN71610	DeepBGC-protein-unique	2368E	BGC0000027	2368E	True
BGC0000027	AGN71611	DeepBGC-protein-unique	2369	BGC0000027	2369	True
BGC0000027	AGN71612	DeepBGC-protein-unique	2370R2	BGC0000027	2370R2	True
BGC0000027	AGN71613	DeepBGC-protein-unique	2371MpFasA2	BGC0000027	2371MpFasA2	True
BGC0000027	AGN71614	DeepBGC-protein-unique	2372MpFasB2	BGC0000027	2372MpFasB2	True
BGC0000027	AGN71616	DeepBGC-protein-unique	2374	BGC0000027	2374	True
BGC0000027	AGN71618	DeepBGC-protein-unique	2376	BGC0000027	2376	True
BGC0000027	AGN71619	DeepBGC-protein-unique	2377	BGC0000027	2377	True
BGC0000027	AGN71622	DeepBGC-protein-unique	2380	BGC0000027	2380	True
BGC0000027	AGN71623	DeepBGC-protein-unique	2381F	BGC0000027	2381F	True
BGC0000027	AGN71624	DeepBGC-protein-unique	2382	BGC0000027	2382	True
BGC0000027	AGN71625	DeepBGC-protein-unique	2383	BGC0000027	2383	True
BGC0000030	CCT69238	DeepBGC-protein-unique	FFUJ_14916	BGC0000030	FFUJ_14916	True
BGC0000030	CCT67991	DeepBGC-protein-unique	FFUJ_06742	BGC0000030	FFUJ_06742	True
BGC0000030	CCT67992	DeepBGC-protein-unique	FFUJ_06743	BGC0000030	FFUJ_06743	True
BGC0000030	CCT67993	DeepBGC-protein-unique	FFUJ_06744	BGC0000030	FFUJ_06744	True
BGC0000030	CCT67994	DeepBGC-protein-unique	FFUJ_06745	BGC0000030	FFUJ_06745	True
BGC0000030	CCT67995	DeepBGC-protein-unique	FFUJ_06746	BGC0000030	FFUJ_06746	True
BGC0000030	CCT67996	DeepBGC-protein-unique	FFUJ_06747	BGC0000030	FFUJ_06747	True
BGC0000037	CBF69451	DeepBGC-protein-unique	ANIA_06448	BGC0000037	ANIA_06448	True
BGC0000057	EAA59562	DeepBGC-protein-unique	AN7908	BGC0000057	AN7908	True
BGC0000057	EAA59563	DeepBGC-protein-unique	AN7909	BGC0000057	AN7909	True
BGC0000057	EAA59565	DeepBGC-protein-unique	AN7911	BGC0000057	AN7911	True
BGC0000057	EAA59566	DeepBGC-protein-unique	AN7912	BGC0000057	AN7912	True
BGC0000057	EAA59567	DeepBGC-protein-unique	AN7913	BGC0000057	AN7913	True
BGC0000057	EAA59568	DeepBGC-protein-unique	AN7914	BGC0000057	AN7914	True
BGC0000057	EAA59569	DeepBGC-protein-unique	AN7915	BGC0000057	AN7915	True
BGC0000082	ACB46463	DeepBGC-protein-unique	KijA1	BGC0000082	KijA1	True
BGC0000082	ACB46464	DeepBGC-protein-unique	KijA2	BGC0000082	KijA2	True
BGC0000082	ACB46465	DeepBGC-protein-unique	KijA3	BGC0000082	KijA3	True
BGC0000082	ACB46466	DeepBGC-protein-unique	KijA4	BGC0000082	KijA4	True
BGC0000082	ACB46467	DeepBGC-protein-unique	KijA5	BGC0000082	KijA5	True
BGC0000082	ACB46468	DeepBGC-protein-unique	KijA6	BGC0000082	KijA6	True
BGC0000082	ACB46469	DeepBGC-protein-unique	KijA7	BGC0000082	KijA7	True
BGC0000082	ACB46470	DeepBGC-protein-unique	KijA8	BGC0000082	KijA8	True
BGC0000082	ACB46471	DeepBGC-protein-unique	KijS4	BGC0000082	KijS4	True
BGC0000082	ACB46472	DeepBGC-protein-unique	KijB1	BGC0000082	KijB1	True
BGC0000082	ACB46473	DeepBGC-protein-unique	KijB2	BGC0000082	KijB2	True
BGC0000082	ACB46474	DeepBGC-protein-unique	KijB3	BGC0000082	KijB3	True
BGC0000082	ACB46475	DeepBGC-protein-unique	KijC1	BGC0000082	KijC1	True
BGC0000082	ACB46476	DeepBGC-protein-unique	KijC2	BGC0000082	KijC2	True
BGC0000082	ACB46477	DeepBGC-protein-unique	KijC3	BGC0000082	KijC3	True
BGC0000082	ACB46478	DeepBGC-protein-unique	KijC4	BGC0000082	KijC4	True
BGC0000082	ACB46479	DeepBGC-protein-unique	KijC5	BGC0000082	KijC5	True
BGC0000082	ACB46480	DeepBGC-protein-unique	KijE	BGC0000082	KijE	True
BGC0000082	ACB46481	DeepBGC-protein-unique	KijD	BGC0000082	KijD	True
BGC0000082	ACB46483	DeepBGC-protein-unique	KijB	BGC0000082	KijB	True
BGC0000082	ACB46484	DeepBGC-protein-unique	KijA	BGC0000082	KijA	True
BGC0000082	ACB46485	DeepBGC-protein-unique	KijS5	BGC0000082	KijS5	True
BGC0000082	ACB46486	DeepBGC-protein-unique	KijS3	BGC0000082	KijS3	True
BGC0000082	ACB46487	DeepBGC-protein-unique	KijS2	BGC0000082	KijS2	True
BGC0000082	ACB46488	DeepBGC-protein-unique	KijS1	BGC0000082	KijS1	True
BGC0000082	ACB46489	DeepBGC-protein-unique	KijD1	BGC0000082	KijD1	True
BGC0000082	ACB46490	DeepBGC-protein-unique	KijD2	BGC0000082	KijD2	True
BGC0000082	ACB46491	DeepBGC-protein-unique	KijD3	BGC0000082	KijD3	True
BGC0000082	ACB46492	DeepBGC-protein-unique	KijD4	BGC0000082	KijD4	True
BGC0000082	ACB46493	DeepBGC-protein-unique	KijD5	BGC0000082	KijD5	True
BGC0000082	ACB46494	DeepBGC-protein-unique	KijD6	BGC0000082	KijD6	True
BGC0000082	ACB46495	DeepBGC-protein-unique	KijD7	BGC0000082	KijD7	True
BGC0000082	ACB46496	DeepBGC-protein-unique	KijD8	BGC0000082	KijD8	True
BGC0000082	ACB46497	DeepBGC-protein-unique	KijD9	BGC0000082	KijD9	True
BGC0000082	ACB46498	DeepBGC-protein-unique	KijD10	BGC0000082	KijD10	True
BGC0000082	ACB46499	DeepBGC-protein-unique	KijD11	BGC0000082	KijD11	True
BGC0000082	ACB46500	DeepBGC-protein-unique	KijD12	BGC0000082	KijD12	True
BGC0000129	EAL89229	DeepBGC-protein-unique	AFUA_6G13920	BGC0000129	AFUA_6G13920	True
BGC0000129	EAL89230	DeepBGC-protein-unique	AFUA_6G13930	BGC0000129	AFUA_6G13930	True
BGC0000129	EBA27371	DeepBGC-protein-unique	AFUA_6G13940	BGC0000129	AFUA_6G13940	True
BGC0000129	EBA27372	DeepBGC-protein-unique	AFUA_6G13945	BGC0000129	AFUA_6G13945	True
BGC0000129	EAL89233	DeepBGC-protein-unique	AFUA_6G13970	BGC0000129	AFUA_6G13970	True
BGC0000129	EAL89234	DeepBGC-protein-unique	AFUA_6G13980	BGC0000129	AFUA_6G13980	True
BGC0000129	EAL89235	DeepBGC-protein-unique	AFUA_6G13990	BGC0000129	AFUA_6G13990	True
BGC0000129	EAL89236	DeepBGC-protein-unique	AFUA_6G14000	BGC0000129	AFUA_6G14000	True
BGC0000151	CAJ88181	DeepBGC-protein-unique	SAMR0471	BGC0000151	SAMR0471	True
BGC0000151	CAJ88189	DeepBGC-protein-unique	SAMR0479	BGC0000151	SAMR0479	True
BGC0000154	EED17997	DeepBGC-protein-unique	TSTA_117720	BGC0000154	TSTA_117720	True
BGC0000154	EED17999	DeepBGC-protein-unique	TSTA_117730	BGC0000154	TSTA_117730	True
BGC0000154	EED17998	DeepBGC-protein-unique	TSTA_117730	BGC0000154	TSTA_117730	True
BGC0000154	EED18000	DeepBGC-protein-unique	TSTA_117740	BGC0000154	TSTA_117740	True
BGC0000154	EED18001	DeepBGC-protein-unique	TSTA_117750	BGC0000154	TSTA_117750	True
BGC0000154	EED18003	DeepBGC-protein-unique	TSTA_117760	BGC0000154	TSTA_117760	True
BGC0000154	EED18002	DeepBGC-protein-unique	TSTA_117760	BGC0000154	TSTA_117760	True
BGC0000154	EED18004	DeepBGC-protein-unique	TSTA_117770	BGC0000154	TSTA_117770	True
BGC0000154	EED18005	DeepBGC-protein-unique	TSTA_117780	BGC0000154	TSTA_117780	True
BGC0000154	EED18006	DeepBGC-protein-unique	TSTA_117790	BGC0000154	TSTA_117790	True
BGC0000154	EED18007	DeepBGC-protein-unique	TSTA_117800	BGC0000154	TSTA_117800	True
BGC0000154	EED18009	DeepBGC-protein-unique	TSTA_117810	BGC0000154	TSTA_117810	True
BGC0000154	EED18008	DeepBGC-protein-unique	TSTA_117810	BGC0000154	TSTA_117810	True
BGC0000154	EED18010	DeepBGC-protein-unique	TSTA_117820	BGC0000154	TSTA_117820	True
BGC0000160	EAU32816	DeepBGC-protein-unique	ATEG_06272	BGC0000160	ATEG_06272	True
BGC0000160	EAU32817	DeepBGC-protein-unique	ATEG_06273	BGC0000160	ATEG_06273	True
BGC0000160	EAU32818	DeepBGC-protein-unique	ATEG_06274	BGC0000160	ATEG_06274	True
BGC0000160	EAU32819	DeepBGC-protein-unique	ATEG_06275	BGC0000160	ATEG_06275	True
BGC0000160	EAU32820	DeepBGC-protein-unique	ATEG_06276	BGC0000160	ATEG_06276	True
BGC0000160	EAU32821	DeepBGC-protein-unique	ATEG_06277	BGC0000160	ATEG_06277	True
BGC0000160	EAU32822	DeepBGC-protein-unique	ATEG_06278	BGC0000160	ATEG_06278	True
BGC0000160	EAU32824	DeepBGC-protein-unique	ATEG_06280	BGC0000160	ATEG_06280	True
BGC0000161	EAU38781	DeepBGC-protein-unique	ATEG_00135	BGC0000161	ATEG_00135	True
BGC0000161	EAU38782	DeepBGC-protein-unique	ATEG_00136	BGC0000161	ATEG_00136	True
BGC0000161	EAU38783	DeepBGC-protein-unique	ATEG_00137	BGC0000161	ATEG_00137	True
BGC0000161	EAU38784	DeepBGC-protein-unique	ATEG_00138	BGC0000161	ATEG_00138	True
BGC0000161	EAU38785	DeepBGC-protein-unique	ATEG_00139	BGC0000161	ATEG_00139	True
BGC0000161	EAU38786	DeepBGC-protein-unique	ATEG_00140	BGC0000161	ATEG_00140	True
BGC0000161	EAU38787	DeepBGC-protein-unique	ATEG_00141	BGC0000161	ATEG_00141	True
BGC0000161	EAU38788	DeepBGC-protein-unique	ATEG_00142	BGC0000161	ATEG_00142	True
BGC0000161	EAU38789	DeepBGC-protein-unique	ATEG_00143	BGC0000161	ATEG_00143	True
BGC0000161	EAU38790	DeepBGC-protein-unique	ATEG_00144	BGC0000161	ATEG_00144	True
BGC0000161	EAU38791	DeepBGC-protein-unique	ATEG_00145	BGC0000161	ATEG_00145	True
BGC0000170	EHA22192	DeepBGC-protein-unique	ASPNIDRAFT_44961	BGC0000170	ASPNIDRAFT_44961	True
BGC0000170	EHA22193	DeepBGC-protein-unique	ASPNIDRAFT_54844	BGC0000170	ASPNIDRAFT_54844	True
BGC0000170	EHA22194	DeepBGC-protein-unique	ASPNIDRAFT_44963	BGC0000170	ASPNIDRAFT_44963	True
BGC0000170	EHA22195	DeepBGC-protein-unique	ASPNIDRAFT_44964	BGC0000170	ASPNIDRAFT_44964	True
BGC0000170	EHA22196	DeepBGC-protein-unique	ASPNIDRAFT_44965	BGC0000170	ASPNIDRAFT_44965	True
BGC0000170	EHA22197	DeepBGC-protein-unique	ASPNIDRAFT_193092	BGC0000170	ASPNIDRAFT_193092	True
BGC0000170	EHA22198	DeepBGC-protein-unique	ASPNIDRAFT_44967	BGC0000170	ASPNIDRAFT_44967	True
BGC0000170	EHA22199	DeepBGC-protein-unique	ASPNIDRAFT_127904	BGC0000170	ASPNIDRAFT_127904	True
BGC0000170	EHA22200	DeepBGC-protein-unique	ASPNIDRAFT_192604	BGC0000170	ASPNIDRAFT_192604	True
BGC0000170	EHA22201	DeepBGC-protein-unique	ASPNIDRAFT_44970	BGC0000170	ASPNIDRAFT_44970	True
BGC0000200	AHX24686	DeepBGC-protein-unique	arx1	BGC0000200	arx1	True
BGC0000200	AHX24687	DeepBGC-protein-unique	arx2	BGC0000200	arx2	True
BGC0000200	AHX24688	DeepBGC-protein-unique	arx3	BGC0000200	arx3	True
BGC0000200	AHX24689	DeepBGC-protein-unique	arx4	BGC0000200	arx4	True
BGC0000200	AHX24690	DeepBGC-protein-unique	arx5	BGC0000200	arx5	True
BGC0000200	AHX24691	DeepBGC-protein-unique	arx6	BGC0000200	arx6	True
BGC0000200	AHX24692	DeepBGC-protein-unique	arx7	BGC0000200	arx7	True
BGC0000200	AHX24693	DeepBGC-protein-unique	arx8	BGC0000200	arx8	True
BGC0000200	AHX24694	DeepBGC-protein-unique	arx9	BGC0000200	arx9	True
BGC0000200	AHX24695	DeepBGC-protein-unique	arx10	BGC0000200	arx10	True
BGC0000200	AHX24697	DeepBGC-protein-unique	arx12	BGC0000200	arx12	True
BGC0000200	AHX24698	DeepBGC-protein-unique	arx13	BGC0000200	arx13	True
BGC0000200	AHX24699	DeepBGC-protein-unique	arx14	BGC0000200	arx14	True
BGC0000200	AHX24700	DeepBGC-protein-unique	arx15	BGC0000200	arx15	True
BGC0000200	AHX24701	DeepBGC-protein-unique	arx16	BGC0000200	arx16	True
BGC0000200	AHX24702	DeepBGC-protein-unique	arx17	BGC0000200	arx17	True
BGC0000200	AHX24703	DeepBGC-protein-unique	arx18	BGC0000200	arx18	True
BGC0000200	AHX24704	DeepBGC-protein-unique	arx19	BGC0000200	arx19	True
BGC0000200	AHX24705	DeepBGC-protein-unique	arx20	BGC0000200	arx20	True
BGC0000200	AHX24706	DeepBGC-protein-unique	arx21	BGC0000200	arx21	True
BGC0000200	AHX24707	DeepBGC-protein-unique	arx22	BGC0000200	arx22	True
BGC0000200	AHX24708	DeepBGC-protein-unique	arx23	BGC0000200	arx23	True
BGC0000200	AHX24709	DeepBGC-protein-unique	arx24	BGC0000200	arx24	True
BGC0000200	AHX24710	DeepBGC-protein-unique	arx25	BGC0000200	arx25	True
BGC0000200	AHX24711	DeepBGC-protein-unique	arx26	BGC0000200	arx26	True
BGC0000200	AHX24712	DeepBGC-protein-unique	arx27	BGC0000200	arx27	True
BGC0000200	AHX24713	DeepBGC-protein-unique	arx28	BGC0000200	arx28	True
BGC0000200	AHX24714	DeepBGC-protein-unique	arx29	BGC0000200	arx29	True
BGC0000200	AHX24715	DeepBGC-protein-unique	arx30	BGC0000200	arx30	True
BGC0000200	AHX24716	DeepBGC-protein-unique	arx31	BGC0000200	arx31	True
BGC0000200	AHX24717	DeepBGC-protein-unique	arx32	BGC0000200	arx32	True
BGC0000200	AHX24718	DeepBGC-protein-unique	arx33	BGC0000200	arx33	True
BGC0000200	AHX24719	DeepBGC-protein-unique	arx34	BGC0000200	arx34	True
BGC0000200	AHX24720	DeepBGC-protein-unique	arx35	BGC0000200	arx35	True
BGC0000212	EDY42516	DeepBGC-protein-unique	SSBG_00478	BGC0000212	SSBG_00478	True
BGC0000212	EDY42517	DeepBGC-protein-unique	SSBG_00479	BGC0000212	SSBG_00479	True
BGC0000212	EDY42519	DeepBGC-protein-unique	SSBG_00481	BGC0000212	SSBG_00481	True
BGC0000212	EDY42520	DeepBGC-protein-unique	SSBG_00482	BGC0000212	SSBG_00482	True
BGC0000212	EDY42521	DeepBGC-protein-unique	SSBG_00483	BGC0000212	SSBG_00483	True
BGC0000212	EDY42522	DeepBGC-protein-unique	SSBG_00484	BGC0000212	SSBG_00484	True
BGC0000212	EDY42523	DeepBGC-protein-unique	SSBG_00485	BGC0000212	SSBG_00485	True
BGC0000212	EDY42524	DeepBGC-protein-unique	SSBG_00486	BGC0000212	SSBG_00486	True
BGC0000212	EDY42525	DeepBGC-protein-unique	SSBG_00487	BGC0000212	SSBG_00487	True
BGC0000212	EDY42526	DeepBGC-protein-unique	SSBG_00488	BGC0000212	SSBG_00488	True
BGC0000212	EDY42527	DeepBGC-protein-unique	SSBG_00489	BGC0000212	SSBG_00489	True
BGC0000212	EDY42528	DeepBGC-protein-unique	SSBG_00490	BGC0000212	SSBG_00490	True
BGC0000212	EDY42529	DeepBGC-protein-unique	SSBG_00491	BGC0000212	SSBG_00491	True
BGC0000212	EDY42530	DeepBGC-protein-unique	SSBG_00492	BGC0000212	SSBG_00492	True
BGC0000212	EDY42531	DeepBGC-protein-unique	SSBG_00493	BGC0000212	SSBG_00493	True
BGC0000212	EDY42532	DeepBGC-protein-unique	SSBG_00494	BGC0000212	SSBG_00494	True
BGC0000212	EDY42533	DeepBGC-protein-unique	SSBG_00495	BGC0000212	SSBG_00495	True
BGC0000212	EDY42534	DeepBGC-protein-unique	SSBG_00496	BGC0000212	SSBG_00496	True
BGC0000212	EDY42535	DeepBGC-protein-unique	SSBG_00497	BGC0000212	SSBG_00497	True
BGC0000212	EDY42536	DeepBGC-protein-unique	SSBG_00498	BGC0000212	SSBG_00498	True
BGC0000212	EDY42537	DeepBGC-protein-unique	SSBG_00499	BGC0000212	SSBG_00499	True
BGC0000212	EDY42538	DeepBGC-protein-unique	SSBG_00500	BGC0000212	SSBG_00500	True
BGC0000212	EDY42539	DeepBGC-protein-unique	SSBG_00501	BGC0000212	SSBG_00501	True
BGC0000212	EDY42540	DeepBGC-protein-unique	SSBG_00502	BGC0000212	SSBG_00502	True
BGC0000212	EDY42541	DeepBGC-protein-unique	SSBG_00503	BGC0000212	SSBG_00503	True
BGC0000212	EDY42542	DeepBGC-protein-unique	SSBG_00504	BGC0000212	SSBG_00504	True
BGC0000212	EDY42543	DeepBGC-protein-unique	SSBG_00505	BGC0000212	SSBG_00505	True
BGC0000212	EDY42544	DeepBGC-protein-unique	SSBG_00507	BGC0000212	SSBG_00507	True
BGC0000212	EDY42546	DeepBGC-protein-unique	SSBG_00508	BGC0000212	SSBG_00508	True
BGC0000212	EDY42547	DeepBGC-protein-unique	SSBG_00509	BGC0000212	SSBG_00509	True
BGC0000212	EDY42548	DeepBGC-protein-unique	SSBG_00510	BGC0000212	SSBG_00510	True
BGC0000212	EDY42549	DeepBGC-protein-unique	SSBG_00511	BGC0000212	SSBG_00511	True
BGC0000212	EDY42550	DeepBGC-protein-unique	SSBG_00512	BGC0000212	SSBG_00512	True
BGC0000212	EDY42551	DeepBGC-protein-unique	SSBG_00513	BGC0000212	SSBG_00513	True
BGC0000212	EDY42552	DeepBGC-protein-unique	SSBG_00514	BGC0000212	SSBG_00514	True
BGC0000292	EAU36740	DeepBGC-protein-unique	ATEG_03466	BGC0000292	ATEG_03466	True
BGC0000292	EAU36741	DeepBGC-protein-unique	ATEG_03467	BGC0000292	ATEG_03467	True
BGC0000292	EAU36742	DeepBGC-protein-unique	ATEG_03468	BGC0000292	ATEG_03468	True
BGC0000292	EAU36743	DeepBGC-protein-unique	ATEG_03469	BGC0000292	ATEG_03469	True
BGC0000292	EAU36744	DeepBGC-protein-unique	ATEG_03470	BGC0000292	ATEG_03470	True
BGC0000292	EAU36745	DeepBGC-protein-unique	ATEG_03471	BGC0000292	ATEG_03471	True
BGC0000292	EAU36746	DeepBGC-protein-unique	ATEG_03472	BGC0000292	ATEG_03472	True
BGC0000292	EAU36747	DeepBGC-protein-unique	ATEG_03473	BGC0000292	ATEG_03473	True
BGC0000292	EAU36748	DeepBGC-protein-unique	ATEG_03474	BGC0000292	ATEG_03474	True
BGC0000292	EAU36749	DeepBGC-protein-unique	ATEG_03475	BGC0000292	ATEG_03475	True
BGC0000293	EAW16180	DeepBGC-protein-unique	NFIA_055290	BGC0000293	NFIA_055290	True
BGC0000293	EAW16181	DeepBGC-protein-unique	NFIA_055300	BGC0000293	NFIA_055300	True
BGC0000293	EAW16182	DeepBGC-protein-unique	NFIA_055310	BGC0000293	NFIA_055310	True
BGC0000327	CAJ88612	DeepBGC-protein-unique	SAMR0903	BGC0000327	SAMR0903	True
BGC0000327	CAJ88613	DeepBGC-protein-unique	SAMR0904	BGC0000327	SAMR0904	True
BGC0000327	CAJ88614	DeepBGC-protein-unique	SAMR0905	BGC0000327	SAMR0905	True
BGC0000327	CAJ88618	DeepBGC-protein-unique	SAMR0909	BGC0000327	SAMR0909	True
BGC0000327	CAJ88620	DeepBGC-protein-unique	SAMR0911	BGC0000327	SAMR0911	True
BGC0000327	CAJ88622	DeepBGC-protein-unique	SAMR0913	BGC0000327	SAMR0913	True
BGC0000327	CAJ88625	DeepBGC-protein-unique	SAMR0916	BGC0000327	SAMR0916	True
BGC0000327	CAJ88627	DeepBGC-protein-unique	SAMR0918	BGC0000327	SAMR0918	True
BGC0000337	EFY94488	DeepBGC-protein-unique	MAA_10031	BGC0000337	MAA_10031	True
BGC0000337	EFY94489	DeepBGC-protein-unique	MAA_10032	BGC0000337	MAA_10032	True
BGC0000337	EFY94490	DeepBGC-protein-unique	MAA_10033	BGC0000337	MAA_10033	True
BGC0000337	EFY94492	DeepBGC-protein-unique	MAA_10035	BGC0000337	MAA_10035	True
BGC0000337	EFY94493	DeepBGC-protein-unique	MAA_10036	BGC0000337	MAA_10036	True
BGC0000337	EFY94494	DeepBGC-protein-unique	MAA_10037	BGC0000337	MAA_10037	True
BGC0000337	EFY94495	DeepBGC-protein-unique	MAA_10038	BGC0000337	MAA_10038	True
BGC0000337	EFY94496	DeepBGC-protein-unique	MAA_10039	BGC0000337	MAA_10039	True
BGC0000337	EFY94498	DeepBGC-protein-unique	MAA_10041	BGC0000337	MAA_10041	True
BGC0000337	EFY94499	DeepBGC-protein-unique	MAA_10042	BGC0000337	MAA_10042	True
BGC0000337	EFY94500	DeepBGC-protein-unique	MAA_10043	BGC0000337	MAA_10043	True
BGC0000337	EFY94501	DeepBGC-protein-unique	MAA_10044	BGC0000337	MAA_10044	True
BGC0000337	EFY94502	DeepBGC-protein-unique	MAA_10045	BGC0000337	MAA_10045	True
BGC0000337	EFY94503	DeepBGC-protein-unique	MAA_10046	BGC0000337	MAA_10046	True
BGC0000337	EFY94504	DeepBGC-protein-unique	MAA_10047	BGC0000337	MAA_10047	True
BGC0000337	EFY94505	DeepBGC-protein-unique	MAA_10048	BGC0000337	MAA_10048	True
BGC0000337	EFY94507	DeepBGC-protein-unique	MAA_10050	BGC0000337	MAA_10050	True
BGC0000337	EFY94508	DeepBGC-protein-unique	MAA_10051	BGC0000337	MAA_10051	True
BGC0000347	CAP20360	DeepBGC-protein-unique	SEQ1246	BGC0000347	SEQ1246	True
BGC0000347	CAP20361	DeepBGC-protein-unique	SEQ1245	BGC0000347	SEQ1245	True
BGC0000347	CAP20362	DeepBGC-protein-unique	SEQ1244	BGC0000347	SEQ1244	True
BGC0000347	CAP20363	DeepBGC-protein-unique	SEQ1243	BGC0000347	SEQ1243	True
BGC0000347	CAP20364	DeepBGC-protein-unique	SEQ1242	BGC0000347	SEQ1242	True
BGC0000347	CAP20365	DeepBGC-protein-unique	SEQ1241	BGC0000347	SEQ1241	True
BGC0000347	CAP20366	DeepBGC-protein-unique	SEQ1240	BGC0000347	SEQ1240	True
BGC0000347	CAP20367	DeepBGC-protein-unique	SEQ1239	BGC0000347	SEQ1239	True
BGC0000347	CAP20368	DeepBGC-protein-unique	SEQ1238	BGC0000347	SEQ1238	True
BGC0000347	CAP20369	DeepBGC-protein-unique	SEQ1237	BGC0000347	SEQ1237	True
BGC0000347	CAP20370	DeepBGC-protein-unique	SEQ1236	BGC0000347	SEQ1236	True
