accession	taxonomy	compound	bioactivities	genome_accession	location_start	location_end
BGC0000047	Streptomyces sp. KCTC 0041BP	10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin	antibacterial, antifungal, cytotoxic	AY118081.2	0	0
BGC0000048	Dothistroma septosporum	dothistromin	antifungal, antibacterial, cytotoxic, phytotoxic	DQ149246.3	0	0
BGC0000049	Streptomyces sp. Eco86	E-492		DQ272521.1	0	0
BGC0000050	Streptomyces aculeolatus	E-837	antibacterial, antifungal	DQ272520.1	0	0
BGC0000051	Kitasatospora aburaviensis	ebelactone A	antifungal	KC894072.1	0	0
BGC0000052	Streptomyces aizunensis	ECO-02301	antifungal	AY899214.1	0	0
BGC0000053	Unknown. Unclassified.	elaiophylin	cytotoxic	GP697151.1	0	0
BGC0000054	Aeromicrobium erythreum	erythromycin	antibacterial	AY623658.2	0	0
BGC0000055	Saccharopolyspora erythraea NRRL 2338	erythromycin A	antibacterial, inhibitor	AM420293.1	778214	832825
BGC0000056	Actinomadura verrucosospora	esperamicin		AY267372.1	0	0
BGC0000057	Aspergillus nidulans FGSC A4	F9775A	inhibitor	AACD01000135.1	122623	149174
BGC0000058	Streptomyces graminofaciens	FD-891	antifungal, cytotoxic	AB469193.1	0	0
BGC0000059	Streptomyces avermitilis MA-4680 = NBRC 14893	filipin	antibacterial, antifungal	BA000030.3	486648	567017
BGC0000060	Streptomyces pulveraceus	fostriecin	antifungal, cytotoxic	HQ434551.1	0	0
BGC0000061	Streptomyces sp. FR-008	levorin A3		AY310323.2	0	0
BGC0000062	Fusarium verticillioides	Fumonisin B1	cytotoxic, inhibitor	AF155773.5	18228	64838
BGC0000063	Fusarium oxysporum	hydroxyl-Fumonisin C1		EU449979.1	0	0
BGC0000064	Fusarium verticillioides	fusarin C		AY604568.1	0	0
BGC0000065	Streptomyces galbus	rustmicin	antifungal	GU300145.1	0	0
BGC0000066	Streptomyces hygroscopicus	geldanamycin	antibacterial, antifungal, antiprotozoal, cytotoxic	AY179507.1	0	0
BGC0000067	Streptomyces hygroscopicus subsp. duamyceticus	geldanamycin	antibacterial, antifungal, antiprotozoal, cytotoxic	DQ249341.1	0	0
BGC0000068	Streptomyces hygroscopicus	geldanamycin	antibacterial, antifungal, antiprotozoal, cytotoxic	DQ914285.1	0	0
BGC0000069	Archangium violaceum Cb vi76	gephyronic acid	antifungal, cytotoxic	KF479198.1	0	0
BGC0000070	Penicillium aethiopicum	griseofulvin	antifungal, cytotoxic	GU574478.1	0	0
BGC0000072	Pyxidicoccus fallax	gulmirecin A	antibacterial	KM361622.1	0	0
BGC0000073	Streptomyces halstedii	halstoctacosanolide A	antibacterial	AB241068.1	0	0
BGC0000074	Streptomyces hygroscopicus	herbimycin A	antibacterial, antifungal, cytotoxic, herbicidal	AY947889.1	0	0
BGC0000075	Streptomyces sp. LZ35	hygrocin A	antibacterial, antifungal, cytotoxic	JX504844.1	0	0
BGC0000076	Hypomyces subiculosus	hypothemycin	cytotoxic, antiprotozoal, inhibitor	EU520417.1	0	0
BGC0000077	Hypomyces subiculosus	hypothemycin		EU520418.1	0	0
BGC0000078	Streptomyces sp. ML694-90F3	incednine	cytotoxic, inhibitor	AB767280.1	0	0
BGC0000079	Streptomyces antibioticus	X-14547	antibacterial, antifungal	FJ545274.1	0	0
BGC0000080	Sorangium cellulosum	jerangolid A	antifungal	DQ897668.1	0	0
BGC0000081	Streptoalloteichus sp. ATCC 53650	kedarcidin	antibacterial, cytotoxic	JX679499.1	0	0
BGC0000082	Actinomadura kijaniata	kijanimicin	antibacterial	EU301739.1	0	0
BGC0000083	Streptomyces amphibiosporus	lactimidomycin	antifungal, antiviral, cytotoxic, inhibitor	GQ274954.1	0	0
BGC0000084	Streptomyces sp. CS684	laidlomycin	antibacterial, cytotoxic	JQ793783.1	0	0
BGC0000085	Streptomyces rochei	lankamycin	antibacterial, cytotoxic	AB088224.2	43059	111152
BGC0000086	Streptomyces lasaliensis	lasalocid	antibacterial, antiprotozoal	AB449340.1	0	0
BGC0000087	Streptomyces lasaliensis	lasalocid	antibacterial, antiprotozoal	FM173265.1	0	0
BGC0000088	Aspergillus terreus	lovastatin	antifungal, cytotoxic, inhibitor	AH007774.2	0	0
BGC0000089	Aspergillus terreus	lovastatin		AF141925.1	0	0
BGC0000090	Actinosynnema pretiosum subsp. pretiosum	macbecin		EU827593.1	0	0
BGC0000091	Streptomyces sp. CNQ-617	marineosin A	cytotoxic	KF711829.1	0	0
BGC0000092	Micromonospora megalomicea subsp. nigra	megalomicin A	antibacterial	AF263245.1	0	0
BGC0000093	Streptomyces nanchangensis	meilingmycin	anthelmintic, antibacterial, insecticidal	FJ952082.1	0	0
BGC0000094	Streptomyces venezuelae	methymycin	antibacterial	AF079138.1	0	0
BGC0000095	Micromonospora sp. CMS I2-32	micromonolactam		KC608848.1	0	0
BGC0000096	Streptomyces mycarofaciens	midecamycin	antibacterial	BD420675.1	0	0
BGC0000097	Streptomyces sp. MP39-85	ML-449	antibacterial, antifungal	FJ872525.1	0	0
BGC0000098	Monascus pilosus	monacolin K		DQ176595.1	0	0
BGC0000099	Talaromyces marneffei	monascorubrin		HM070047.1	0	0
BGC0000100	Streptomyces cinnamonensis	monensin	antibacterial, antiparasidal, antiprotozoal, ionophore	AF440781.1	0	0
BGC0000101	Aspergillus nidulans FGSC A4	emodin	inhibitor	BN001308.1	4379755	4404005
BGC0000102	Micromonospora griseorubida	mycinamicin II	antibacterial	AB089954.2	0	0
BGC0000103	Mycobacterium ulcerans Agy99	mycolactone B	cytotoxic, immunosuppressive	BX649209.1	30054	137271
BGC0000104	Penicillium brevicompactum	mycophenolic acid	antibacterial, antifungal, antiviral, immunosuppressive, inhibitor	HQ731031.1	7000	32485
BGC0000105	Streptomyces nanchangensis	nanchangmycin	anthelmintic, antibacterial, antiviral, insecticidal	AF521085.1	0	0
BGC0000106	Streptomyces sp. CS	naphthomycin A	antibacterial, cytotoxic	GQ452266.1	0	0
BGC0000107	Aspergillus nidulans FGSC A4	naphthopyrone		BN001302.1	1136055	1142873
BGC0000109	Streptomyces cyaneogriseus subsp. noncyanogenus	LL-F28249α	anthelmintic	AB363939.1	0	0
BGC0000110	Streptomyces orinoci	spectinabilin	anthelmintic, antiprotozoal, antiviral	AM778535.1	0	0
BGC0000111	Streptomyces carzinostaticus	neocarzilin A	cytotoxic	AB097904.1	0	0
BGC0000112	Streptomyces carzinostaticus subsp. neocarzinostaticus	neocarzinostatin	antibacterial, cytotoxic	AY117439.1	10097	72712
BGC0000113	Streptomyces caelestis	niddamycin	antibacterial	AF016585.1	0	0
BGC0000114	Streptomyces violaceusniger	nigericin	antibacterial, antifungal, antimalarial, cytotoxic, ionophore	DQ354110.1	0	0
BGC0000115	Streptomyces noursei ATCC 11455	nystatin A1	antifungal	AF263912.1	0	0
BGC0000116	Pseudonocardia autotrophica	nystatin-like Pseudonocardia polyene A1		EU108007.1	0	0
BGC0000117	Streptomyces avermitilis	oligomycin	antifungal, cytotoxic	AB070940.1	0	0
BGC0000118	Streptomyces pactum	pactamycin	antibacterial, antifungal, antiprotozoal, antiviral, cytotoxic	AB303063.1	0	0
BGC0000119	Streptomyces pactum	7-deoxypactamycin	antibacterial, antifungal, antiprotozoal, cytotoxic	FJ392609.1	0	0
BGC0000120	Penicillium expansum	patulin	cytotoxic	KF899892.1	0	0
BGC0000121	Pestalotiopsis fici	Pestheic Acid	regulatory, cytotoxic	KC145148.1	4104	40346
BGC0000122	Nannocystis pusilla	phenylnannolone A	inhibitor	KF739396.1	0	0
BGC0000123	Streptomyces sp. HK803	phoslactomycin B	antifungal, cytotoxic	AY354515.1	0	0
BGC0000124	Streptomyces piomogenus	piericidin A1	antibacterial, antifungal, antiviral, cytotoxic, insecticidal	HQ840721.1	0	0
BGC0000125	Streptomyces natalensis	pimaricin	antifungal	AJ278573.1	0	0
BGC0000126	Streptomyces platensis	pladienolide B	cytotoxic	AB435553.1	0	0
BGC0000127	Pseudomonas protegens Pf-5	pyoluteorin	antifungal	AF081920.3	0	0
BGC0000128	Pseudomonas sp. M18	pyoluteorin		AY394844.4	0	0
BGC0000129	Aspergillus fumigatus Af293	pyripyropene A		CM000174.1	3549063	3572141
BGC0000130	Streptomyces vitaminophilus	pyrrolomycin A	antibacterial, antifungal	EF140901.1	0	0
BGC0000131	Streptomyces sp. UC 11065	pyrrolomycin	antibacterial, antifungal	EF140902.1	0	0
BGC0000132	Streptomyces sp. UC 11065	pyrrolomycin		EF140903.1	0	0
BGC0000133	Amycolatopsis orientalis	quartromicin A1	antiviral	JF970188.1	0	0
BGC0000134	Pochonia chlamydosporia	radicicol		EU520419.1	0	0
BGC0000135	Streptomyces sp. SN-593	reveromycin A	antifungal, antiviral	AB568601.1	0	0
BGC0000136	Amycolatopsis mediterranei S699	rifamycin	antibacterial	AF040570.3	0	0
BGC0000137	Salinispora arenicola CNS-205	rifamycin		CP000850.1	1388770	1480342
BGC0000138	Streptomyces diastaticus	rimocidin	antifungal, antiprotozoal	AY442225.1	0	0
BGC0000140	Streptomyces sp. 88-682	4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one	cytotoxic	GQ332353.1	0	0
BGC0000141	Streptomyces achromogenes subsp. rubradiris	rubradirin	antibacterial	AJ871581.1	0	0
BGC0000142	Salinispora tropica CNB-440	salinilactam		CP000667.1	3103236	3185224
BGC0000143	Streptomyces albus	salinomycin	antibacterial, antifungal, antiprotozoal, cytotoxic	DQ630728.1	0	0
BGC0000144	Streptomyces albus	salinomycin	anticoccidial, antifungal, antiprotozoal	JN033543.1	0	0
BGC0000145	Salinispora tropica	salinosporamide A	cytotoxic	EF397502.1	0	0
BGC0000146	Alternaria solani	solanapyrone D		AB514562.1	0	0
BGC0000147	Sorangium cellulosum	soraphen A	antifungal	U24241.2	0	0
BGC0000148	Saccharopolyspora spinosa	A83543A	insecticidal	AY007564.1	0	0
BGC0000149	Sorangium cellulosum	spirangien O	antifungal, cytotoxic	AM407731.1	1580	90501
BGC0000150	Salinispora tropica CNB-440	sporolide A		CP000667.1	3027087	3086780
BGC0000151	Streptomyces ambofaciens ATCC 23877	stambomycin A	antibacterial, antiproliferative, cytotoxic	AM238664.2	488938	634937
BGC0000152	Aspergillus nidulans	sterigmatocystin		U34740.1	0	0
BGC0000153	Stigmatella aurantiaca Sg a15	stigmatellin	antifungal	AJ421825.1	0	0
BGC0000154	Talaromyces stipitatus ATCC 10500	stipitatic acid	antiplasmodial	EQ962655.1	1805625	1837759
BGC0000155	Bipolaris maydis	T-toxin		FJ943499.1	0	0
BGC0000156	Aspergillus niger	TAN-1612	inhibitor	JN257714.1	0	0
BGC0000157	Streptomyces sp. CK4412	tautomycetin	antifungal, cytotoxic	DQ983361.1	0	0
BGC0000158	Streptomyces griseochromogenes	tautomycetin	antifungal, cytotoxic, inhibitor	EU035755.1	0	0
BGC0000159	Streptomyces spiroverticillatus	tautomycin	antibacterial, antifungal, cytotoxic, inhibitor	EF990140.1	0	0
BGC0000160	Aspergillus terreus NIH2624	terreic acid	antibacterial, inhibitor, cytotoxic	CH476602.1	89034	116126
BGC0000161	Aspergillus terreus NIH2624	isoterrein		CH476594.1	399827	432585
BGC0000162	Micromonospora chalcea	tetrocarcin A	antibacterial, cytotoxic	EU443633.1	0	0
BGC0000163	Streptomyces longisporoflavus	tetronasin	antibacterial, antifungal	FJ462704.1	0	0
BGC0000164	Streptomyces sp. NRRL 11266	tetronomycin	antibacterial, antifungal	AB193609.1	0	0
BGC0000165	Dactylosporangium aurantiacum subsp. hamdenensis	tiacumicin B	anti-Gram-positive	HQ011923.1	6044	88527
BGC0000166	Streptomyces fradiae	tylactone	antibacterial	U78289.1	0	0
BGC0000167	Streptomyces halstedii	vicenistatin	cytotoxic	AB086653.1	0	0
BGC0000168	Penicillium aethiopicum	viridicatumtoxin	antibacterial	GU574477.1	0	0
BGC0000170	Aspergillus niger ATCC 1015	yanuthone D	antifungal, antibacterial	ACJE01000012.1	25033	49030
BGC0000171	Streptomyces himastatinicus ATCC 53653	9-methylstreptimidone	antifungal, cytotoxic	FR878059.1	0	0
BGC0000172	Brevibacillus laterosporus PE36	Basiliskamide A		AXBT01000013.1	84598	132409
BGC0000173	Burkholderia gladioli	isobongkrekic acid		JX173632.1	0	0
BGC0000174	Candidatus Endobugula sertula	bryostatin	cytotoxic	DQ889941.1	0	0
BGC0000175	Streptomyces sp. YIM 56141	cycloheximide	antifungal, inhibitor	JX014302.1	0	0
BGC0000176	Bacillus velezensis FZB42	difficidin	antibacterial	AJ634062.2	0	0
BGC0000177	Streptomyces platensis subsp. rosaceus	iso-migrastatin	antifungal, cytotoxic, inhibitor	GQ274953.1	0	0
BGC0000178	Chitinophaga sancti	elansolid A1	antibacterial, cytotoxic	HQ680975.1	0	0
BGC0000179	Sorangium cellulosum So ce56	etnangien	antibacterial, antiviral	AM746676.1	4373490	4469286
BGC0000180	Legionella parisiensis	legioliulin	fluorescent	KM222819.1	4550	31415
BGC0000181	Bacillus velezensis FZB42	macrolactin H	antibacterial, antifungal, cytotoxic	AJ634061.2	0	0
BGC0000182	Pseudomonas fluorescens	pseudomonic acid A	antibacterial	AF318063.3	0	0
BGC0000183	Paenibacillus sp. F6-B70	paenimacrolidin		GQ262808.1	0	0
BGC0000184	Sorangium cellulosum	sorangicin A	antibacterial	HM584908.1	0	0
BGC0000185	Teredinibacter turnerae T7901	tartrolon D	cytotoxic, anti-Gram-positive	CP001614.2	2282355	2332601
BGC0000186	Burkholderia thailandensis E264	thailandamide		CP000085.1	1950416	2036975
BGC0000187	Streptomyces nodosus subsp. asukaensis	asukamycin	antibacterial, antifungal, cytotoxic, pigment	GQ926890.1	0	0
BGC0000188	Cylindrospermopsis raciborskii T3	saxitoxin	neurotoxic	DQ787200.1	0	0
BGC0000189	Xenorhabdus bovienii SS-2004	3-(2'-hydroxy-3'-oxo-4'-methylpentyl)-indole		FN667741.1	3771005	3779127
BGC0000190	Streptomyces sp. SANK 61196	A-74528	antiviral	GU937384.1	0	0
BGC0000191	Streptomyces galilaeus	aclacinomycin	antibacterial, antifungal, cytotoxic	AB008466.1	0	0
BGC0000192	Streptomyces galilaeus	aclacinomycin		AF257324.2	0	0
BGC0000193	Streptomyces galilaeus	aclacinomycin		AF264025.1	0	0
BGC0000194	Streptomyces coelicolor A3(2)	actinorhodin	anti-Gram-positive, anti-Gram-negative	AL645882.2	5513809	5535091
BGC0000195	Streptomyces sp. CM020	alnumycin A	antibacterial, cytotoxic	EU852062.1	0	0
BGC0000196	Photorhabdus laumondii subsp. laumondii TTO1	AQ-256		BX470251.1	4897935	4907928
BGC0000197	Streptomyces echinatus	aranciamycin	antibacterial, cytotoxic	DQ915964.1	0	0
BGC0000198	Salinispora arenicola CNB527	arenimycin A	antibacterial, cytotoxic	NZ_AZXI01000002.1	3084	41108
BGC0000199	uncultured bacterium	arimetamycin B	cytotoxic	KF040454.1	0	0
BGC0000200	uncultured bacterium	arixanthomycin A	antibacterial, cytotoxic	KF931341.1	0	0
BGC0000201	Streptomyces aureofaciens	auricin	antibacterial	KJ396772.1	58195	86722
BGC0000202	Kibdelosporangium sp. MJ126-NF4	azicemicin B	antibacterial	GU134622.1	0	0
BGC0000203	Amycolatopsis orientalis subsp. vinearia	BE-7585A	cytostatic	HM055942.1	0	0
BGC0000204	Streptomyces sp. A2991200	benastatin A	antibacterial, cytotoxic, inducer, inhibitor	AM501485.1	0	0
BGC0000205	Candidatus Endobugula sertula	bryostatin		DQ889942.1	0	0
BGC0000206	Streptomyces chartreusis	chartreusin	antitumor	AJ786382.1	0	0
BGC0000207	Streptomyces chartreusis	chartreusin	antibacterial, cytotoxic	AJ786383.1	0	0
BGC0000208	Amycolatopsis sulphurea	chelocardin	antibacterial	KC870000.2	0	0
BGC0000209	Kitasatospora aureofaciens	chlortetracycline	antibacterial	HM627755.1	0	0
BGC0000210	Streptomyces griseus subsp. griseus	chromomycin A3	antibacterial, antifungal, cytotoxic	AJ578458.1	0	0
BGC0000211	Streptomyces albaduncus	chrysomycin	antibacterial, antiviral, cytotoxic	FN565166.1	0	0
BGC0000212	Streptomyces sp. SPB074	cinerubin B	antibacterial, cytotoxic	GG770539.1	5086070	5121186
BGC0000213	Streptomyces aureus	colabomycin E	antibacterial, inhibitor	KF850685.1	0	0
BGC0000214	Streptomyces olindensis	cosmomycin B	cytotoxic	DQ280500.1	0	0
BGC0000215	Streptomyces cyaneus	curamycin	antibacterial	X62518.1	0	0
BGC0000216	Dactylosporangium sp. SC14051	dactylocycline A	antibacterial	JX262387.1	0	0
BGC0000217	Streptomyces sp.	daunorubicin	cytotoxic	L34880.1	0	0
BGC0000218	Streptomyces peucetius	doxorubicin	antibacterial, cytotoxic	L35560.1	0	0
BGC0000219	Streptomyces olivaceus	elloramycin	cytotoxic	AM900040.1	0	0
BGC0000220	Streptomyces maritimus	enterocin	antibacterial	AF254925.1	0	0
BGC0000221	uncultured soil bacterium V167	erdacin	antioxidant, surfactant	FJ719113.1	0	0
BGC0000222	Streptomyces sp. TA-0256	FD-594	antibacterial, cytotoxic	AB469194.1	0	0
BGC0000223	uncultured bacterium BAC AB649/1850	rabelomycin	antibacterial	HM193369.1	0	0
BGC0000224	Streptomyces griseus	fredericamycin A	antibacterial, antifungal, antitumor, cytotoxic, inhibitor	AF525490.2	0	0
BGC0000225	Streptomyces roseofulvus	frenolicin B	antibacterial, antifungal, cytotoxic	AF058302.1	0	0
BGC0000226	Streptomyces griseoflavus	gilvocarcin V	antibacterial, antiviral, cytotoxic	AY233211.2	0	0
BGC0000227	Streptomyces violaceoruber	granaticin	antibacterial	AJ011500.1	0	0
BGC0000228	Streptomyces violaceoruber	granaticin	antibacterial, cytotoxic	X16300.1	0	0
BGC0000229	Streptomyces lusitanus	grincamycin	antibacterial, cytotoxic	KC962511.1	0	0
BGC0000231	Streptomyces griseus	griseusin A	antibacterial, cytotoxic	X77865.1	0	0
BGC0000232	Streptomyces sp. 2238-SVT4	hatomarubigin A	cytotoxic	AB524586.1	0	0
BGC0000233	Streptomyces griseoruber	hedamycin	antibacterial, cytotoxic	AY196994.1	0	0
BGC0000234	Streptomyces venezuelae ATCC 10712	jadomycin	antibacterial, cytotoxic	AF126429.1	0	0
BGC0000235	Streptomyces sp. W007	kiamycin	cytotoxic	AGSW01000147.1	118282	139606
BGC0000236	Streptomyces murayamaensis	kinamycin	antibacterial	AH012623.2	0	0
BGC0000237	Streptomyces sanglieri	lactonamycin Z	antibacterial, cytotoxic	EU147299.1	0	0
BGC0000238	Streptomyces rishiriensis	lactonamycin	antibacterial	EU147298.1	0	0
BGC0000239	Streptomyces cyanogenus	landomycin A	antibacterial, cytotoxic	AF080235.1	0	0
BGC0000240	Salinispora pacifica	lomaiviticin A	antibacterial, cytotoxic	KF731828.1	0	0
BGC0000241	Salinispora tropica CNB-440	lomaiviticin A	antibacterial, cytotoxic	CP000667.1	2460444	2522674
BGC0000242	Streptomyces tendae	lysolipin I	antibacterial	AM492533.1	0	0
BGC0000243	Streptomyces griseus subsp. griseus	nonactin		AF263011.1	0	0
BGC0000244	Streptomyces griseus subsp. griseus	nonactin		AF263012.1	0	0
BGC0000245	Streptomyces sp. AM-7161	medermycin	antibacterial, cytotoxic	AB103463.1	0	0
BGC0000246	Streptomyces argillaceus	mithramycin	antibacterial, cytotoxic	AJ007932.2	0	0
BGC0000247	Streptomyces argillaceus	mithramycin	antibacterial, cytotoxic	X89899.2	0	0
BGC0000248	Streptomyces arenae DSM 40737	α naphtocyclinoic acid	antibacterial	JAKQYH010000014.1	94867	120787
BGC0000249	Streptomyces nogalater	nogalamycin	antibacterial, cytotoxic	AF323753.1	0	0
BGC0000250	Streptomyces nogalater	nogalaviketone		AJ224512.2	0	0
BGC0000251	unidentified unclassified sequences.	nogalamycin		BD251846.1	0	0
BGC0000252	Streptomyces griseus subsp. griseus	nonactin	antibacterial, antifungal, antiviral, cytotoxic	AF074603.2	0	0
BGC0000253	Streptomyces antibioticus	oviedomycin	cytotoxic	AJ632203.2	0	0
BGC0000254	Streptomyces rimosus	oxytetracycline	antibacterial	DQ143963.2	0	0
BGC0000255	Uncultured bacterium	pederin	cytotoxic	AY850690.1	0	0
BGC0000256	Actinomadura hibisca	pradimicin-A		EF151801.1	0	0
BGC0000257	Streptomyces griseoviridis	Roseophilin	cytotoxic	AB469822.1	0	0
BGC0000258	Serratia sp.	prodigiosin		AJ833001.1	0	0
BGC0000259	Serratia marcescens	prodigiosin		AJ833002.1	0	0
BGC0000260	Hahella chejuensis KCTC 2396	prodigiosin		DQ266254.1	0	0
BGC0000261	Streptomyces sp. R1128	R1128	cytotoxic	AF293442.1	0	0
BGC0000262	Streptomyces sp. PGA64	prejadomycin	antibacterial, cytotoxic	AY034378.2	0	0
BGC0000263	Streptomyces ravidus	ravidomycin	antibacterial, antifungal, cytotoxic	FN565485.1	0	0
BGC0000264	Streptomyces resistomycificus	resistomycin	antibacterial, antifungal, antioxidant, antiviral, cytotoxic	AJ585192.1	0	0
BGC0000265	Streptomyces purpurascens	rhodomycin	antibacterial, cytotoxic	U10405.2	0	0
BGC0000266	Streptomyces collinus	collinomycin	antibacterial	AF293355.2	0	0
BGC0000267	Micromonospora sp. Tu 6368	saquayamycin Z	antibacterial, cytotoxic	FJ670504.1	0	0
BGC0000268	Streptomyces sp. SCC 2136	Sch-47554	antifungal	AJ628018.2	0	0
BGC0000269	Streptomyces sp. SF2575	SF2575	antibacterial, cytotoxic	GQ409537.1	0	0
BGC0000270	Streptomyces antibioticus	simocyclinone D8	antibacterial, cytotoxic	AF322256.1	0	0
BGC0000271	Streptomyces avermitilis	spore pigment	pigment	AB070937.1	0	0
BGC0000272	Streptomyces collinus	spore pigment		AF293354.1	0	0
BGC0000273	Streptomyces steffisburgensis	steffimycin D	antibacterial, cytotoxic	AM156932.1	0	0
BGC0000274	uncultured bacterium	tetarimycin A	antibacterial	JX843821.1	0	0
BGC0000275	Streptomyces glaucescens	tetracenomycin C	antibacterial, cytotoxic	M80674.1	0	0
BGC0000276	Streptomyces fradiae	urdamycin A	antibacterial, cytotoxic, inhibitor	AF164961.1	0	0
BGC0000277	Streptomyces fradiae	urdamycin	antibacterial, cytotoxic	AF164961.1	0	0
BGC0000278	Streptomyces fradiae	urdamycin		AF269227.1	0	0
BGC0000279	Streptomyces flavogriseus	xantholipin	antibacterial, antifungal, cytotoxic	GQ421798.1	0	0
BGC0000280	Pseudomonas fluorescens	2,4-diacetylphloroglucinol	antifungal	AF497760.1	0	0
BGC0000281	Pseudomonas fluorescens	2,4-diacetylphloroglucinol		DQ083928.1	0	0
BGC0000282	Streptomyces griseus subsp. griseus NBRC 13350	2-methoxy-5-methyl-6-(13-methyltetradecyl)-1,4-benzoquinone		AP009493.1	548718	551330
BGC0000283	Actinomyces sp. Lu 9419	cetoniacytone A	cytotoxic	EF120454.2	0	0
BGC0000285	Saccharopolyspora erythraea	flaviolin		AY078067.1	0	0
BGC0000286	Streptomyces sp. KO-3988	viguiepinol		AB183750.1	0	0
BGC0000287	Pseudomonas aeruginosa PAO1	L-2-amino-4-methoxy-trans-3-butenoic acid	antibacterial, cytotoxic	AE004091.2	2532659	2545669
BGC0000288	Streptomyces sp. SANK 62799	A-503083 A	antibacterial	AB538860.1	0	0
BGC0000289	Nonomuraea gerenzanensis	A40926	antibacterial	AJ561198.1	0	0
